group_name,mean_count,prop_infeasible
dM 5 aM 1 XM 15 ,3.036000000000001,0.2
dM 5 aM 2 XM 3 ,10.0,1.0
dM 5 aM 2 XM 6 ,6.212000000000001,0.84
dM 5 aM 2 XM 9 ,5.42,0.84
dM 5 aM 2 XM 12 ,6.336,0.84
dM 5 aM 2 XM 15 ,5.851999999999999,0.84
dM 5 aM 3 XM 3 ,10.0,1.0
dM 5 aM 3 XM 6 ,8.556000000000001,0.88
dM 5 aM 3 XM 9 ,8.592,0.84
dM 5 aM 3 XM 12 ,8.836,0.96
dM 5 aM 3 XM 15 ,8.62,0.88
dM 10 aM 1 XM 3 ,10.0,1.0
dM 10 aM 1 XM 6 ,2.188,0.2
dM 10 aM 1 XM 9 ,2.2439999999999998,0.2
dM 10 aM 1 XM 12 ,2.2039999999999997,0.2
dM 10 aM 1 XM 15 ,2.192,0.2
dM 10 aM 2 XM 3 ,10.0,1.0
dM 10 aM 2 XM 6 ,2.512,0.28
dM 10 aM 2 XM 9 ,2.508,0.24
dM 10 aM 2 XM 12 ,2.448,0.2
dM 10 aM 2 XM 15 ,2.464,0.24
dM 10 aM 3 XM 3 ,10.0,1.0
dM 10 aM 3 XM 6 ,3.928000000000001,0.6
dM 10 aM 3 XM 9 ,3.976000000000001,0.64
dM 10 aM 3 XM 12 ,4.112,0.56
dM 10 aM 3 XM 15 ,4.0920000000000005,0.56
dM 15 aM 1 XM 3 ,10.0,1.0
dM 15 aM 1 XM 6 ,2.02,0.2
dM 15 aM 1 XM 9 ,2.028,0.2
dM 15 aM 1 XM 12 ,2.0200000000000005,0.2
dM 15 aM 1 XM 15 ,2.0240000000000005,0.2
dM 15 aM 2 XM 3 ,10.0,1.0
dM 15 aM 2 XM 6 ,2.048,0.2
dM 15 aM 2 XM 9 ,2.056,0.2
dM 15 aM 2 XM 12 ,2.0600000000000005,0.2
dM 15 aM 2 XM 15 ,2.044,0.2
dM 15 aM 3 XM 3 ,10.0,1.0
dM 15 aM 3 XM 6 ,2.244,0.2
dM 15 aM 3 XM 9 ,2.1920000000000006,0.2
dM 15 aM 3 XM 12 ,2.2520000000000002,0.2
dM 15 aM 3 XM 15 ,2.2640000000000002,0.2
dM 20 aM 1 XM 3 ,10.0,1.0
dM 20 aM 1 XM 6 ,2.0,0.2
dM 20 aM 1 XM 9 ,2.0,0.2
dM 20 aM 1 XM 12 ,2.0,0.2
dM 20 aM 1 XM 15 ,2.0,0.2
dM 20 aM 2 XM 3 ,10.0,1.0
dM 20 aM 2 XM 6 ,2.0640000000000005,0.2
dM 20 aM 2 XM 9 ,2.064,0.2
dM 20 aM 2 XM 12 ,2.0679999999999996,0.2
dM 20 aM 2 XM 15 ,2.044,0.2
dM 20 aM 3 XM 3 ,10.0,1.0
dM 20 aM 3 XM 6 ,2.1,0.2
dM 20 aM 3 XM 9 ,2.1000000000000005,0.2
dM 20 aM 3 XM 12 ,2.1279999999999997,0.2
dM 20 aM 3 XM 15 ,2.1280000000000006,0.2
dM 25 aM 1 XM 3 ,10.0,1.0
dM 25 aM 1 XM 6 ,2.012,0.2
dM 25 aM 1 XM 9 ,2.012,0.2
dM 25 aM 1 XM 12 ,2.012,0.2
dM 25 aM 1 XM 15 ,2.012,0.2
dM 25 aM 2 XM 3 ,10.0,1.0
dM 25 aM 2 XM 6 ,2.02,0.2
dM 25 aM 2 XM 9 ,2.02,0.2
dM 25 aM 2 XM 12 ,2.028,0.2
dM 25 aM 2 XM 15 ,2.0239999999999996,0.2
dM 25 aM 3 XM 3 ,10.0,1.0
dM 25 aM 3 XM 6 ,2.06,0.2
dM 25 aM 3 XM 9 ,2.052,0.2
dM 25 aM 3 XM 12 ,2.048,0.2
dM 25 aM 3 XM 15 ,2.044,0.2
dM 5 aM 1 YM 5 ,10.0,1.0
dM 5 aM 1 YM 10 ,3.0440000000000005,0.24
